04.10.2016 10:00:15.293;	15148;	-1
04.10.2016 10:00:15.403;	15148;	-1
04.10.2016 10:00:15.409;	15151;	1
04.10.2016 10:00:15.450;	15148;	-1
04.10.2016 10:00:15.452;	15148;	-1
04.10.2016 10:00:15.872;	15148;	-1
04.10.2016 10:00:16.066;	15148;	-11
04.10.2016 10:00:16.446;	15148;	-15
04.10.2016 10:00:16.446;	15148;	-3
04.10.2016 10:00:16.446;	15148;	-4
04.10.2016 10:00:16.446;	15148;	-9
04.10.2016 10:00:16.446;	15148;	-13
04.10.2016 10:00:16.449;	15147;	-1
04.10.2016 10:00:16.449;	15147;	-1
04.10.2016 10:00:16.449;	15147;	-4
04.10.2016 10:00:16.449;	15147;	-1
04.10.2016 10:00:16.449;	15147;	-1
04.10.2016 10:00:16.449;	15147;	-1
04.10.2016 10:00:16.450;	15147;	-13
04.10.2016 10:00:16.454;	15146;	-1
04.10.2016 10:00:16.454;	15146;	-1
04.10.2016 10:00:16.454;	15146;	-11
04.10.2016 10:00:16.456;	15146;	-2
04.10.2016 10:00:16.460;	15145;	-1
04.10.2016 10:00:16.460;	15145;	-1
04.10.2016 10:00:16.473;	15145;	-15
04.10.2016 10:00:16.789;	15146;	-2
04.10.2016 10:00:16.794;	15145;	-1
04.10.2016 10:00:16.841;	15145;	-4
04.10.2016 10:00:16.841;	15145;	-1
04.10.2016 10:00:16.841;	15145;	-1
04.10.2016 10:00:16.841;	15145;	-1
04.10.2016 10:00:16.841;	15145;	-1
04.10.2016 10:00:16.841;	15145;	-1
04.10.2016 10:00:16.841;	15145;	-10
04.10.2016 10:00:16.845;	15145;	-3
04.10.2016 10:00:16.847;	15144;	-1
04.10.2016 10:00:16.847;	15144;	-9
04.10.2016 10:00:16.851;	15144;	-1
04.10.2016 10:00:16.851;	15144;	-10
04.10.2016 10:00:16.854;	15143;	-1
04.10.2016 10:00:16.854;	15143;	-1
04.10.2016 10:00:16.854;	15143;	-11
04.10.2016 10:00:16.854;	15143;	-1
04.10.2016 10:00:16.854;	15143;	-2
04.10.2016 10:00:16.858;	15143;	-11
04.10.2016 10:00:16.864;	15142;	-1
04.10.2016 10:00:16.864;	15142;	-2
04.10.2016 10:00:16.918;	15146;	1
04.10.2016 10:00:16.955;	15146;	2
04.10.2016 10:00:16.955;	15147;	20
04.10.2016 10:00:16.955;	15147;	6
04.10.2016 10:00:16.955;	15148;	1
04.10.2016 10:00:16.955;	15148;	6
04.10.2016 10:00:16.955;	15148;	5
04.10.2016 10:00:16.955;	15148;	12
04.10.2016 10:00:16.955;	15149;	3
04.10.2016 10:00:16.955;	15150;	10
04.10.2016 10:00:16.957;	15150;	3
04.10.2016 10:00:16.959;	15149;	3
04.10.2016 10:00:16.959;	15150;	4
04.10.2016 10:00:16.960;	15150;	6
04.10.2016 10:00:16.962;	15149;	1
04.10.2016 10:00:16.962;	15150;	2
04.10.2016 10:00:16.962;	15150;	2
04.10.2016 10:00:17.075;	15144;	-3
04.10.2016 10:00:17.075;	15143;	-2
04.10.2016 10:00:17.075;	15143;	-3
04.10.2016 10:00:17.075;	15143;	-2
04.10.2016 10:00:17.075;	15142;	-13
04.10.2016 10:00:17.075;	15142;	-25
04.10.2016 10:00:17.075;	15141;	-1
04.10.2016 10:00:17.075;	15141;	-1
04.10.2016 10:00:17.081;	15142;	-3
04.10.2016 10:00:17.081;	15141;	-3
04.10.2016 10:00:17.125;	15142;	-3
04.10.2016 10:00:17.125;	15141;	-4
04.10.2016 10:00:17.168;	15142;	-2
04.10.2016 10:00:17.262;	15142;	-1
04.10.2016 10:00:17.262;	15141;	-1
04.10.2016 10:00:17.291;	15147;	-13
04.10.2016 10:00:17.454;	15141;	-1
04.10.2016 10:00:17.833;	15145;	1
04.10.2016 10:00:17.837;	15145;	3
04.10.2016 10:00:18.153;	15144;	-10
04.10.2016 10:00:18.641;	15148;	1
04.10.2016 10:00:18.721;	15144;	-3
04.10.2016 10:00:18.721;	15144;	-2
04.10.2016 10:00:19.002;	15144;	-2
04.10.2016 10:00:19.478;	15148;	2
04.10.2016 10:00:19.478;	15149;	4
04.10.2016 10:00:19.892;	15144;	-9
04.10.2016 10:00:19.892;	15143;	-3
04.10.2016 10:00:19.892;	15142;	-3
04.10.2016 10:00:19.892;	15142;	-5
04.10.2016 10:00:20.325;	15143;	-2
04.10.2016 10:00:20.325;	15142;	-8
04.10.2016 10:00:20.537;	15143;	1
04.10.2016 10:00:20.777;	15146;	1
04.10.2016 10:00:20.777;	15147;	2
04.10.2016 10:00:21.501;	15148;	3
04.10.2016 10:00:21.895;	15149;	3
04.10.2016 10:00:21.900;	15149;	3
04.10.2016 10:00:21.904;	15150;	3
04.10.2016 10:00:21.904;	15150;	10
04.10.2016 10:00:21.907;	15151;	1
04.10.2016 10:00:21.907;	15151;	10
04.10.2016 10:00:21.907;	15151;	2
04.10.2016 10:00:22.210;	15147;	-3
04.10.2016 10:00:22.210;	15147;	-2
04.10.2016 10:00:22.210;	15146;	-25
04.10.2016 10:00:22.210;	15145;	-3
04.10.2016 10:00:22.210;	15145;	-50
04.10.2016 10:00:22.210;	15144;	-25
04.10.2016 10:00:22.210;	15143;	-3
04.10.2016 10:00:22.210;	15142;	-13
04.10.2016 10:00:22.210;	15142;	-25
04.10.2016 10:00:22.210;	15142;	-13
04.10.2016 10:00:22.214;	15142;	25
04.10.2016 10:00:22.214;	15142;	25
04.10.2016 10:00:22.214;	15142;	5
04.10.2016 10:00:22.214;	15141;	-3
04.10.2016 10:00:22.214;	15141;	-3
04.10.2016 10:00:22.214;	15141;	-2
04.10.2016 10:00:22.215;	15142;	26
04.10.2016 10:00:22.215;	15142;	16
04.10.2016 10:00:22.215;	15142;	91
04.10.2016 10:00:22.281;	15145;	-3
04.10.2016 10:00:22.281;	15144;	-2
04.10.2016 10:00:22.722;	15150;	1
04.10.2016 10:00:23.038;	15146;	-1
04.10.2016 10:00:23.117;	15144;	-4
04.10.2016 10:00:23.210;	15144;	-1
04.10.2016 10:00:23.340;	15144;	-1
04.10.2016 10:00:23.618;	15143;	-1
04.10.2016 10:00:24.002;	15143;	-2
04.10.2016 10:00:24.272;	15147;	3
04.10.2016 10:00:24.325;	15147;	-2
04.10.2016 10:00:24.402;	15143;	-8
04.10.2016 10:00:24.406;	15143;	-14
04.10.2016 10:00:24.766;	15142;	-1
04.10.2016 10:00:25.204;	15146;	4
04.10.2016 10:00:25.430;	15142;	-2
04.10.2016 10:00:25.430;	15141;	-3
04.10.2016 10:00:25.806;	15142;	-2
04.10.2016 10:00:25.806;	15140;	-3
04.10.2016 10:00:25.827;	15140;	-2
04.10.2016 10:00:25.827;	15140;	-8
04.10.2016 10:00:25.875;	15142;	-2
